"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 12:32:39 UTC 2025","Tue Jul 22 12:32:44 UTC 2025","4697","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Double @ symbol",""
"passed","Tue Jul 22 12:33:54 UTC 2025","Tue Jul 22 12:34:01 UTC 2025","6357","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios SQL injection in password",""
"passed","Tue Jul 22 12:37:36 UTC 2025","Tue Jul 22 12:37:38 UTC 2025","1786","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithInvalidContentType","Create note with incorrect Content-Type",""
"passed","Tue Jul 22 12:34:46 UTC 2025","Tue Jul 22 12:34:56 UTC 2025","9747","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithThreeCharUsername","Successful login with 3-character username",""
"passed","Tue Jul 22 12:36:53 UTC 2025","Tue Jul 22 12:36:59 UTC 2025","6301","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username with only digits",""
"passed","Tue Jul 22 12:35:50 UTC 2025","Tue Jul 22 12:35:56 UTC 2025","6364","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username with space",""
"passed","Tue Jul 22 12:35:56 UTC 2025","Tue Jul 22 12:36:02 UTC 2025","6411","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username with special characters",""
"passed","Tue Jul 22 12:37:50 UTC 2025","Tue Jul 22 12:37:51 UTC 2025","1216","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","completedUpdate","Update note 'Completed' status",""
"passed","Tue Jul 22 12:37:45 UTC 2025","Tue Jul 22 12:37:47 UTC 2025","1314","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNote","Update note by ID",""
"passed","Tue Jul 22 12:37:48 UTC 2025","Tue Jul 22 12:37:49 UTC 2025","939","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithInvalidCategory","Create note with unknown category",""
"passed","Tue Jul 22 12:32:25 UTC 2025","Tue Jul 22 12:32:30 UTC 2025","4723","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases SQL UNION",""
"passed","Tue Jul 22 12:34:07 UTC 2025","Tue Jul 22 12:34:13 UTC 2025","6360","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Username with leading space",""
"passed","Tue Jul 22 12:32:35 UTC 2025","Tue Jul 22 12:32:39 UTC 2025","4721","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Missing @ symbol",""
"passed","Tue Jul 22 12:37:54 UTC 2025","Tue Jul 22 12:37:55 UTC 2025","751","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithWrongPassword","Login with incorrect password",""
"passed","Tue Jul 22 12:32:30 UTC 2025","Tue Jul 22 12:32:35 UTC 2025","4741","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases SQL DROP",""
"passed","Tue Jul 22 12:33:13 UTC 2025","Tue Jul 22 12:33:23 UTC 2025","9678","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithRegularUsername","Successful login with standard username",""
"passed","Tue Jul 22 12:31:30 UTC 2025","Tue Jul 22 12:31:48 UTC 2025","18054","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByTabSpace","Send password reset request via Tab → Space",""
"passed","Tue Jul 22 12:34:13 UTC 2025","Tue Jul 22 12:34:20 UTC 2025","6397","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Password with leading space",""
