"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 15:42:16 MSK 2025","Sat Jul 19 15:42:25 MSK 2025","9866","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithRegularUsername","Регистрация с обычным username",""
"failed","Sat Jul 19 15:45:08 MSK 2025","Sat Jul 19 15:45:08 MSK 2025","319","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithEmptyTitle","Создание заметки с пустым title",""
"passed","Sat Jul 19 15:48:19 MSK 2025","Sat Jul 19 15:48:25 MSK 2025","6274","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пустой Username",""
"passed","Sat Jul 19 15:50:46 MSK 2025","Sat Jul 19 15:50:51 MSK 2025","4811","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Без @",""
"passed","Sat Jul 19 15:47:22 MSK 2025","Sat Jul 19 15:47:28 MSK 2025","6202","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username заканчивается с пробелом",""
"passed","Sat Jul 19 15:40:52 MSK 2025","Sat Jul 19 15:41:02 MSK 2025","9786","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина SQL-инъекция в username",""
"passed","Sat Jul 19 15:45:32 MSK 2025","Sat Jul 19 15:45:34 MSK 2025","1323","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithEmptyEmail","Регистрация с пустым email",""
"failed","Sat Jul 19 15:45:08 MSK 2025","Sat Jul 19 15:45:08 MSK 2025","297","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNotes","Создание заметки",""
"passed","Sat Jul 19 15:44:56 MSK 2025","Sat Jul 19 15:45:02 MSK 2025","6321","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithMaxLengthUsername","Регистрация с username из 39 символов",""
"passed","Sat Jul 19 15:44:30 MSK 2025","Sat Jul 19 15:44:37 MSK 2025","6217","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username только заглавными буквами",""
"passed","Sat Jul 19 15:39:48 MSK 2025","Sat Jul 19 15:39:53 MSK 2025","5056","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Пустая строка",""
"passed","Sat Jul 19 15:39:38 MSK 2025","Sat Jul 19 15:39:43 MSK 2025","5215","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Пробелы",""
"passed","Sat Jul 19 15:45:28 MSK 2025","Sat Jul 19 15:45:30 MSK 2025","1223","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithUnregisteredEmail","Логин с незарегистрированным email",""
"failed","Sat Jul 19 15:45:07 MSK 2025","Sat Jul 19 15:45:07 MSK 2025","305","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNoteOfAnotherUser","Удаление чужой заметки",""
"passed","Sat Jul 19 15:39:43 MSK 2025","Sat Jul 19 15:39:48 MSK 2025","5068","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Только цифры",""
"passed","Sat Jul 19 15:45:21 MSK 2025","Sat Jul 19 15:45:22 MSK 2025","1592","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","changePassword","Меняем пароль",""
